date,median_1y_ret,sse_composite_1y_ret,sse_composite,n_eligible
2020-04-28,-0.20798948014845275,-0.1363332308621551,2810.0243,3740
2020-04-29,-0.21188896614013109,-0.13504737294352753,2822.4424,3729
2020-04-30,-0.1911172747686839,-0.12002918465478385,2860.0822,3716
2020-05-06,-0.1860640097941434,-0.12004935310421117,2878.1402,3743
2020-05-07,-0.17925219051662888,-0.10684754223785409,2871.5232,3748
2020-05-08,-0.1591027523805011,-0.09480709929469633,2895.3444,3750
2020-05-11,-0.16159431080488262,-0.09583033081099068,2894.802,3752
2020-05-12,-0.1340900205298502,-0.07435423501967675,2891.5564,3753
2020-05-13,-0.11861997623540921,-0.06102561791348493,2898.0495,3758
2020-05-14,-0.09886612598901728,-0.06274494501793226,2870.3422,3760
2020-05-15,-0.1051760022762418,-0.06817969262578594,2868.4587,3762
2020-05-18,-0.03941364510752743,-0.010681845706673077,2875.4176,3760
2020-05-19,-0.04369399005256336,-0.00950481391617286,2898.576,3758
2020-05-20,-0.04723525971154252,-0.0034622468433507247,2883.7378,3759
2020-05-21,-0.04552933585935576,0.005952394105874115,2867.9237,3762
2020-05-22,-0.08405386479572186,-0.04267989507114589,2813.7654,3765
2020-05-25,-0.08059065256243858,-0.02952888148625976,2817.9697,3763
2020-05-26,-0.06074174397929766,-0.01285312195574806,2846.5473,3764
2020-05-27,-0.07856147847538819,-0.034666777555527384,2836.8036,3759
2020-05-28,-0.08450246383576648,-0.037043303624745394,2846.2217,3760
2020-05-29,-0.04692330141040402,-0.010389286153171917,2852.3512,3760
2020-06-01,-0.021304651253424844,0.015615699912136849,2915.4311,3758
2020-06-02,-0.028672184646140242,0.005309485772868605,2921.398,3761
2020-06-03,-0.02759968899712051,0.010950807354250358,2923.3711,3761
2020-06-04,-0.005010289679984625,0.023395246994818875,2919.2506,3762
2020-06-05,-0.003431947894984133,0.027271167826874443,2930.7993,3761
2020-06-08,-0.026931129214029126,0.015694005714743664,2937.7712,3763
2020-06-09,-0.023488601625766048,0.015877120073723328,2956.1116,3767
2020-06-10,-0.02914049367424587,0.009968825569620199,2943.7525,3766
2020-06-11,-0.03017852557427575,0.005193534295173219,2920.8968,3766
2020-06-12,-0.02650750297306237,0.007260057375452433,2919.7408,3766
2020-06-15,-0.02125814760757755,-1.740435708907917e-05,2890.0306,3770
2020-06-16,0.005645270340961739,0.02427050907627737,2931.7493,3773
2020-06-17,0.009910820355590877,0.026020279944409364,2935.873,3772
2020-06-18,0.02819028955866343,0.03943609405170334,2939.3151,3774
2020-06-19,0.022799975073481082,0.04049741487958736,2967.6341,3775
2020-06-22,-0.008764022680160855,0.013519937443009722,2965.2717,3773
2020-06-23,-0.004803548877193142,0.021049401734995365,2970.6203,3771
2020-06-24,-0.014584976198195931,0.023639997325766382,2979.5505,3771
2020-06-29,-0.00650042793203609,0.02759986444015139,2961.5164,3775
2020-06-30,0.006799387442572913,0.03360966104255825,2984.6741,3768
2020-07-01,0.014800514412897536,0.04699500857738581,3025.981,3777
2020-07-02,0.020024436990895955,0.05921112766047365,3090.5693,3778
2020-07-03,0.021276532067937892,0.05546950830810693,3152.8126,3778
2020-07-06,0.04523433997462867,0.11022740922808216,3332.8807,3779
2020-07-07,0.04789968416303192,0.1120918954816017,3345.3369,3777
